item,store_id,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2022/12,total_2023,total _2022,total_sales
A,820,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,5,12
A,821,0,0,0,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
A,822,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,20
A,823,0,4,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,24,6,30
A,824,0,10,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
A,825,0,8,10,9,11,19,12,18,6,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93
A,826,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
A,827,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,828,40,0,50,85,0,0,0,0,10,15,10,20,40,40,80,10,0,20,10,20,15,185,0,185
A,829,0,0,30,1947,-967,0,0,0,0,0,0,10,20,70,65,320,0,0,0,0,170,1010,280,1290
A,830,0,0,5,0,0,0,15,0,0,14,2,0,7,14,40,0,0,0,0,0,0,20,655,675
A,831,0,0,11,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,16,77,93
A,832,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,25
A,833,10,0,0,0,11,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38
A,834,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
A,835,2,1,2,4,4,2,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
A,836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
A,837,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,838,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
A,839,0,20,0,10,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
A,840,0,1,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
A,841,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
A,842,0,20,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
A,843,0,18,0,0,10,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
A,844,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
A,845,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
A,846,0,10,0,20,20,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,90,0,90
A,847,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
A,848,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
A,849,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
A,850,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
A,851,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33
A,852,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
A,853,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,854,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,855,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
A,856,0,0,10,35,0,0,9,20,10,0,0,0,0,0,0,0,0,0,0,0,0,84,0,84
A,857,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
A,858,0,0,10,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
A,859,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
A,860,0,0,0,11,-1,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
A,861,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
A,862,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
A,863,0,0,1,3,4,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
A,864,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60
A,865,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,866,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
A,867,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,95
A,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,869,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
A,870,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
A,871,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
A,872,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
A,873,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,874,0,0,0,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
A,875,0,0,0,0,20,0,20,10,20,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
A,876,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,877,0,0,0,12,0,12,0,38,25,0,0,0,0,0,0,0,0,0,0,0,0,87,0,87
A,878,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
A,879,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
A,880,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,881,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
A,883,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
A,884,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
A,885,0,0,0,0,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
A,886,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,887,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,888,0,0,0,0,2,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
A,889,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
A,890,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
A,891,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
A,892,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
A,893,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,894,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,895,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
A,896,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,897,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
A,898,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
A,899,0,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38
A,900,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
A,901,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
A,902,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
A,903,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
A,904,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
A,905,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
A,906,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A,907,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,908,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,909,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
A,910,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
A,911,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
B,1,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
B,2,7,0,8,0,0,0,0,7,0,0,0,5,6,0,9,3,0,6,6,0,0,22,0,22
B,3,10,4,20,10,15,10,15,5,10,5,10,15,20,15,25,8,5,5,18,10,10,99,35,134
B,4,10,0,10,0,20,20,0,30,0,0,10,10,10,10,20,0,40,0,0,0,10,90,146,236
B,5,0,10,0,0,0,10,0,20,0,0,0,0,10,5,5,0,10,0,0,10,0,40,110,150
B,6,20,0,0,50,0,0,0,0,20,10,0,40,10,20,20,20,40,0,0,20,0,90,40,130
B,7,30,10,20,60,0,0,0,30,15,40,40,0,30,40,40,40,40,0,0,10,0,165,180,345
B,8,0,0,140,0,0,0,20,50,130,10,20,100,50,20,0,70,70,181,0,40,0,340,280,620
B,9,0,0,0,10,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,10,561,571
B,10,10,0,20,25,0,0,0,0,8,0,12,0,40,0,25,0,0,0,16,0,0,63,7,70
B,11,0,0,2,2,0,0,2,3,0,2,0,3,2,2,0,2,0,0,2,0,0,9,93,102
B,12,0,10,0,5,0,0,0,0,0,0,0,0,2,0,13,0,0,2,0,0,0,15,13,28
B,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,19
B,14,0,0,5,0,0,0,0,6,0,0,0,0,0,5,0,0,6,0,0,5,0,11,0,11
B,15,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,16,32
B,16,10,10,0,10,10,5,0,5,10,15,0,10,10,10,15,0,0,10,0,0,10,60,0,60
B,17,0,0,0,0,10,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,20,80,100
B,18,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,20
B,19,10,12,15,40,0,0,10,17,2,3,2,6,10,10,10,10,0,18,22,12,12,106,30,136
B,20,0,20,220,300,0,0,0,0,0,2,5,0,40,380,0,0,0,5,0,0,0,540,115,655
B,21,5,0,0,0,15,0,0,0,0,0,10,0,0,5,0,0,2,0,0,0,0,20,432,452
B,22,0,40,0,100,0,0,0,0,0,0,10,0,10,0,60,0,0,0,0,0,29,140,17,157
B,23,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,109,116
B,24,0,11,0,15,0,0,0,0,0,0,3,0,10,0,6,0,0,5,0,2,3,26,0,26
B,25,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,10,4,0,7,5,15,29,44
B,26,5,20,10,15,0,10,0,20,0,0,0,0,10,10,40,0,0,0,10,0,0,80,26,106
B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,70,70
B,28,30,40,30,270,0,0,0,0,0,0,0,0,10,100,10,80,100,0,5,20,20,370,17,387
B,29,30,0,10,10,0,6,0,20,0,0,10,0,60,40,0,0,10,0,0,0,0,76,345,421
B,30,0,0,20,40,0,0,0,0,0,0,0,7,10,10,60,0,0,0,0,0,0,60,120,180
B,32,5,0,0,0,0,4,0,0,0,0,4,4,0,0,6,1,5,0,3,0,2,9,87,96
B,33,0,20,20,0,20,0,10,0,10,0,0,0,20,20,25,0,0,20,0,20,0,80,25,105
B,34,0,5,0,12,0,0,0,0,0,2,4,0,0,3,5,0,4,0,0,4,0,17,105,122
B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,22
B,36,20,0,0,20,0,30,0,20,0,0,0,0,0,20,40,0,0,0,0,0,0,90,1,91
B,37,10,0,0,40,0,0,0,0,0,10,10,0,15,15,10,0,0,5,0,0,0,50,60,110
B,38,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,65,73
B,39,0,0,3,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,8,1,9
B,40,2,0,5,10,0,0,5,10,0,0,0,0,7,2,10,0,0,0,0,0,0,32,10,42
B,41,14,0,10,25,0,25,0,0,0,0,12,7,10,12,27,0,7,0,9,10,14,74,19,93
B,42,5,5,0,0,0,10,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,20,108,128
B,43,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,20,0,0,10,30,40
B,44,0,0,20,310,0,0,10,0,0,10,0,0,20,40,0,20,20,0,100,10,0,340,40,380
B,45,0,20,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,20,0,0,20,60,220,280
B,46,10,0,0,10,0,10,0,0,0,20,0,0,0,0,10,0,0,20,0,0,0,30,100,130
B,47,10,10,0,40,0,0,0,0,0,0,10,0,20,20,5,0,5,40,0,10,0,60,50,110
B,48,20,0,20,30,0,40,20,0,10,60,30,20,70,40,80,0,70,0,50,0,10,140,110,250
B,49,5,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,25,430,455
B,50,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,30,42
B,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,2,2
B,52,0,0,0,150,0,0,0,0,0,10,10,0,40,10,200,0,0,0,0,0,0,150,12,162
B,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,270,270
B,54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
B,56,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,6,0,0,0,0,3,3
B,57,0,20,280,300,0,0,0,0,15,0,5,5,40,20,20,20,40,0,0,20,0,615,16,631
B,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,170,173
B,59,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10
B,60,0,40,10,400,0,0,0,0,0,0,20,20,70,40,30,120,150,0,0,0,0,450,10,460
B,61,0,20,0,0,0,8,0,0,0,12,0,0,25,0,0,0,0,6,0,0,0,28,450,478
B,62,6,0,0,0,0,5,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,11,43,54
B,63,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,15,15
B,64,9,10,23,21,0,11,8,12,16,5,9,8,13,16,21,5,7,13,8,11,10,110,90,200
B,65,0,0,4,0,1,0,0,0,0,0,0,20,40,0,0,10,0,20,0,2,0,5,126,131
B,66,310,120,480,930,0,0,0,0,0,20,30,160,490,250,100,150,980,-300,0,160,0,1840,92,1932
B,67,20,0,37,0,0,0,20,0,0,0,0,0,3,43,0,50,0,40,40,40,38,77,2040,2117
B,68,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,254,257
B,69,0,20,100,0,10,0,40,20,60,30,0,0,130,0,30,20,0,70,60,0,0,250,0,250
B,70,10,30,0,120,0,0,0,0,0,20,0,35,95,0,60,0,30,0,0,10,10,160,340,500
B,71,0,18,0,40,0,0,0,0,0,0,8,9,16,0,23,0,0,0,0,10,10,58,260,318
B,72,20,12,20,150,0,20,0,7,60,0,0,27,140,0,40,0,0,0,20,0,0,289,76,365
B,73,0,0,0,0,0,0,2,1,0,0,0,0,5,0,21,0,0,2,0,0,0,3,227,230
B,74,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,3,0,1,0,0,5,28,33
B,75,0,20,0,20,0,10,0,0,20,4,0,0,40,0,6,16,0,8,0,21,0,70,8,78
B,76,10,0,0,20,0,0,0,0,20,20,0,0,0,5,30,0,0,0,0,0,0,50,95,145
B,77,0,20,0,12,15,0,0,10,5,0,0,6,15,0,0,0,0,0,0,10,0,62,55,117
B,78,0,0,0,0,0,0,1,0,0,3,2,0,4,1,0,0,0,1,0,0,0,1,31,32
B,79,21,0,0,2,30,0,0,0,32,0,0,10,31,0,0,0,0,41,0,0,10,85,11,96
B,80,10,0,0,0,10,10,0,0,0,0,0,0,10,10,0,5,10,0,0,0,0,30,92,122
B,81,0,5,0,0,0,10,0,15,0,0,10,0,20,0,0,0,0,0,8,0,0,30,35,65
B,82,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,38,52
B,83,0,10,0,20,0,0,0,0,10,5,0,0,10,15,7,0,0,0,10,10,0,40,3,43
B,84,0,5,0,0,0,10,0,20,0,10,0,0,20,0,0,0,0,20,0,0,0,35,57,92
B,85,0,7,0,0,9,0,0,3,5,0,5,0,15,0,10,0,0,0,0,5,0,24,50,74
B,86,0,0,0,0,0,0,0,0,0,0,0,0,40,170,130,0,0,0,0,30,110,0,35,35
B,87,0,10,0,0,0,0,0,0,0,4,0,0,0,8,0,0,2,0,0,0,0,10,480,490
B,88,10,0,42,0,0,0,0,0,0,10,108,0,10,0,10,0,0,10,0,0,0,52,14,66
B,89,250,600,400,800,0,0,0,0,0,270,120,110,610,220,560,0,500,0,150,280,160,2050,148,2198
B,90,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,6,0,3,0,6,2980,2986
B,91,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,14
B,92,6,0,9,8,0,0,0,0,0,0,0,0,6,0,1,0,0,0,8,0,0,23,0,23
B,93,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,15,59
B,94,0,0,10,0,0,0,0,10,0,0,3,0,0,0,8,0,5,0,0,5,0,20,10,30
B,96,0,0,10,0,20,0,0,20,0,10,0,0,30,20,20,0,10,20,20,0,20,50,21,71
B,97,0,0,30,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,30,150,180
B,100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40
B,101,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,0,0,3,1,0,0,2,0,2
B,102,10,0,0,20,0,20,0,0,0,10,10,0,0,10,30,0,0,20,0,0,0,50,11,61
B,103,0,0,0,30,0,0,0,0,0,0,10,0,10,10,10,0,20,0,10,0,30,30,80,110
B,104,4,8,0,30,0,0,0,0,0,0,7,0,8,0,15,0,0,0,1,0,2,42,100,142
B,105,3,0,0,7,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,11,33,44
B,106,0,0,0,5,10,0,0,0,0,0,0,6,0,0,2,3,4,0,0,0,3,15,3,18
B,107,0,0,12,20,0,0,4,0,7,7,9,0,15,0,0,6,0,0,0,10,0,43,18,61
B,108,0,0,5,0,0,0,0,0,4,0,0,0,5,3,0,3,0,0,0,5,0,9,47,56
B,109,0,10,10,0,0,0,0,0,0,0,0,0,5,15,10,0,0,0,0,0,0,20,16,36
B,110,0,17,0,0,0,2,10,0,0,3,0,4,6,0,14,0,0,0,0,7,0,29,30,59
B,111,10,10,20,20,7,0,10,0,0,15,15,30,5,10,0,10,10,0,0,40,0,77,34,111
B,112,0,0,0,0,0,5,5,2,2,4,0,5,25,25,0,0,0,0,0,0,0,14,135,149
B,113,1,0,14,0,1,3,0,2,0,20,0,15,15,0,0,0,1,0,0,0,0,21,59,80
B,114,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,51,56
B,115,0,15,0,41,0,0,0,1,8,15,0,0,30,0,33,0,0,0,0,12,18,65,5,70
B,116,10,10,0,0,0,0,0,0,0,10,0,0,20,0,10,0,0,0,0,0,0,20,108,128
B,117,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,40,43
B,118,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,3
B,119,0,10,0,0,0,5,0,10,0,0,0,0,0,20,0,0,0,13,0,0,0,25,10,35
B,120,0,0,200,340,0,0,0,0,0,0,0,0,200,150,200,0,0,0,0,0,0,540,33,573
B,121,0,0,0,40,0,0,0,0,0,20,0,0,20,0,40,0,20,0,0,10,0,40,550,590
B,122,0,0,3,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,3,110,113
B,123,0,0,5,0,0,0,0,8,0,0,1,0,3,4,0,0,0,2,0,0,2,13,12,25
B,124,0,0,5,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,31
B,125,0,0,15,0,0,10,0,0,15,0,0,0,5,10,0,10,0,10,0,0,0,40,0,40
B,126,1,0,1,0,0,0,3,0,0,3,0,0,0,0,2,0,3,1,0,0,0,5,35,40
B,127,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,9,11
B,128,30,30,40,50,0,40,40,30,30,20,30,40,60,10,60,40,30,30,20,20,20,290,1,291
B,129,20,10,30,20,10,20,10,10,10,10,10,30,20,10,50,0,10,20,0,10,10,140,380,520
B,130,40,40,30,100,0,40,20,70,0,50,0,20,50,30,70,50,0,50,10,40,30,340,180,520
B,131,0,0,26,40,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,78,400,478
B,132,0,0,0,5,2,0,0,0,5,0,0,0,5,0,5,0,0,0,5,0,0,12,5,17
B,133,10,0,10,20,0,0,0,0,0,10,0,0,0,0,0,5,10,0,0,0,0,40,15,55
B,134,10,0,0,20,10,10,10,10,10,0,0,10,0,20,10,0,0,10,10,10,10,80,25,105
B,135,3,2,2,2,7,3,5,0,0,4,0,0,5,5,0,2,0,1,3,3,0,24,80,104
B,136,0,0,0,10,0,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,10,23,33
B,137,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,50,57
B,138,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
B,139,5,21,0,14,9,11,7,28,0,0,13,10,10,9,16,0,0,5,10,3,7,95,0,95
B,140,60,10,40,80,0,0,30,30,30,30,0,30,50,40,80,0,0,30,30,30,0,280,83,363
B,141,5,10,10,0,0,0,0,0,3,0,0,2,15,0,5,0,0,10,0,0,0,28,320,348
B,142,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,32,35
B,144,10,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,70,9,79
B,145,0,10,0,0,20,0,0,20,0,0,0,0,10,15,0,0,0,0,10,0,2,50,50,100
B,146,0,12,0,25,0,0,0,0,7,6,40,0,20,8,0,0,0,12,-6,1,6,44,37,81
B,147,0,0,10,15,0,15,10,20,10,20,0,10,30,0,20,0,10,10,0,0,20,80,87,167
B,148,110,0,75,65,40,60,70,40,0,30,40,30,40,0,0,10,0,60,80,40,60,460,120,580
B,149,10,8,10,20,0,10,0,0,10,10,0,0,25,15,22,10,10,10,5,10,0,68,390,458
B,150,0,20,0,15,0,0,5,5,10,0,0,5,5,0,10,0,0,10,0,10,0,55,117,172
B,151,10,0,80,40,0,0,0,0,0,0,20,5,40,0,85,0,0,0,20,20,6,130,40,170
B,152,0,14,0,20,10,12,16,0,0,5,0,0,25,0,0,0,0,10,0,5,5,72,196,268
B,153,0,0,10,30,0,0,0,8,0,10,5,0,10,15,25,0,0,7,0,8,18,48,50,98
B,155,0,3,0,6,8,3,0,0,4,0,0,0,4,17,0,4,3,1,0,2,0,24,98,122
B,156,0,30,20,50,0,0,40,10,30,0,20,20,20,30,20,30,0,10,30,0,0,180,31,211
B,157,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,180,184
B,158,0,0,0,8,7,7,0,10,5,0,10,0,10,20,0,20,0,0,0,0,0,37,0,37
B,159,85,30,100,450,0,180,0,0,0,0,0,0,0,55,250,0,0,0,0,0,0,845,60,905
B,160,4,0,0,0,5,4,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,13,305,318
B,161,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,13,19
B,162,38,0,77,600,0,0,0,0,0,16,29,15,78,78,113,0,0,0,39,108,53,715,3,718
B,163,4,0,5,0,2,3,0,0,0,0,0,0,5,6,0,0,2,10,0,0,0,14,529,543
B,164,0,0,0,2,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,3,23,26
B,165,7,10,15,11,15,5,0,13,12,4,3,22,16,0,12,0,10,4,0,4,3,88,4,92
B,166,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,79
B,167,5,50,0,100,0,0,0,0,0,10,5,10,20,25,40,0,0,0,10,0,10,155,0,155
B,168,20,20,0,90,0,0,0,0,0,20,20,0,40,40,0,0,20,0,20,0,0,130,130,260
B,169,10,0,0,25,0,20,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,55,160,215
B,170,10,5,10,40,0,0,0,0,0,0,0,0,10,5,25,0,0,0,0,0,0,65,50,115
B,171,0,0,0,11,0,0,6,0,0,0,0,0,0,5,0,0,5,0,3,0,0,17,40,57
B,172,10,0,0,5,0,0,0,10,0,0,0,0,0,0,10,0,15,0,10,0,30,25,13,38
B,173,0,10,20,10,0,20,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,90,65,155
B,174,0,40,0,140,0,10,0,0,0,0,0,10,30,200,70,0,0,0,0,0,10,190,100,290
B,175,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,320,324
B,176,0,0,0,30,0,0,0,0,10,0,0,0,21,0,2,0,0,0,0,0,0,40,3,43
B,177,2,0,2,5,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,3,0,14,23,37
B,178,30,40,70,44,0,30,30,10,10,20,0,10,50,10,20,30,0,40,40,10,30,264,13,277
B,180,3,0,0,0,0,7,0,0,7,7,0,0,7,4,0,0,5,0,0,10,0,17,260,277
B,181,0,20,0,20,0,20,0,0,10,10,0,0,10,20,20,0,0,20,10,5,10,70,33,103
B,182,10,0,10,10,0,5,5,0,4,0,0,0,10,0,10,0,10,0,0,0,0,44,105,149
